combined_title,release_year,release_date,is_top10,title,season,is_tv_show,tconst,titleType,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,_merge
10 Days With Santa Claus,2020,20201204,False,10 days with santa claus,,False,,,,,,,,,left_only
100 Humans: Season 1,2020,20200313,False,100 humans,1,True,,,,,,,,,left_only
3%: Season 4,2020,20200814,True,3%,4,True,,,,,,,,,left_only
7SEEDS: Part 2,2020,20200326,True,7seeds: part 2,,False,,,,,,,,,left_only
800 Meters: Limited Series,2022,20220325,True,800 meters: limited series,,False,,,,,,,,,left_only
A Go! Go! Cory Carson Summer Camp,2020,20200804,False,a go! go! cory carson summer camp,,False,,,,,,,,,left_only
A Love Song for Latasha,2020,20200921,False,a love song for latasha,,False,,,,,,,,,left_only
A Madea Homecoming,2022,20220225,True,a madea homecoming,,False,,,,,,,,,left_only
A Perfect Crime: Limited Series,2020,20200925,False,a perfect crime: limited series,,False,,,,,,,,,left_only
A Second Chance: Rivals!,2021,20210723,False,a second chance: rivals!,,False,,,,,,,,,left_only
A Suitable Boy: Limited Series,2020,20200802,True,a suitable boy: limited series,,False,,,,,,,,,left_only
Adú,2020,20200630,True,adú,,False,,,,,,,,,left_only
Aggretsuko: Season 3,2020,20200827,True,aggretsuko,3,True,,,,,,,,,left_only
Aggretsuko: Season 4,2021,20211216,True,aggretsuko,4,True,,,,,,,,,left_only
AlRawabi School for Girls: Limited Series,2021,20210812,True,alrawabi school for girls: limited series,,False,,,,,,,,,left_only
Alexa & Katie: Part 4,2020,20200613,True,alexa & katie: part 4,,False,,,,,,,,,left_only
Ali & Ratu Ratu Queens,2021,20210617,False,ali & ratu ratu queens,,False,,,,,,,,,left_only
All the Freckles in the World,2020,20200103,False,all the freckles in the world,,False,,,,,,,,,left_only
Always a Witch: Season 2,2020,20200228,True,always a witch,2,True,,,,,,,,,left_only
Amend: The Fight for America: Limited Series,2021,20210217,True,amend: the fight for america: limited series,,False,,,,,,,,,left_only
America's Got Talent: Season 15,2020,20200526,False,america's got talent,15,True,,,,,,,,,left_only
America's Got Talent: Season 16,2021,20210605,False,america's got talent,16,True,,,,,,,,,left_only
America's Got Talent: Season 17,2022,20220531,False,america's got talent,17,True,,,,,,,,,left_only
America's Got Talent: The Champions: Season 2,2020,20200106,False,america's got talent: the champions,2,True,,,,,,,,,left_only
